"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","0","negative","test_api","","","","test_post_user_empty_username",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user[None]",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","4","negative","test_crud","","","","test_get_not_existed_user",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","0","negative","test_crud","","","","test_create_user_invalid_username[None]",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","7","positive","test_crud","","","","test_create_user_repeated_username",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_post_user_wrong_key_in_body",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","8","sampleService.tests.component.positive","test_api","","","","test_get_user[444300d4-046f-4417-b9fa-1a20541c861b]",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","0","negative","test_crud","","","","test_create_user_invalid_username[]",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","16","negative","test_api","","","","test_get_not_existed_user",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","7","sampleService.tests.component.positive","test_api","","","","test_get_user[418]",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","10","sampleService.tests.component.positive","test_api","","","","test_post_user_existed_name",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","5","sampleService.tests.component.positive","test_api","","","","test_post_user_one_symbol_name[O]",""
"passed","Wed Jun 26 17:08:56 GMT 2024","Wed Jun 26 17:08:56 GMT 2024","0","negative","test_crud","","","","test_get_user_null_id",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","3","sampleService.tests.component.negative","test_api","","","","test_post_user_none_name",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user_no_id",""
"passed","Wed Jun 26 17:08:55 GMT 2024","Wed Jun 26 17:08:55 GMT 2024","6","sampleService.tests.component.positive","test_api","","","","test_post_user_max_length",""
