"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","4","positive","test_api","","","","test_get_user",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","3","sampleService.tests.component.negative","test_api","","","","test_post_user_too_long_length",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","7","positive","test_crud","","","","test_create_user_repeated_username",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_post_user_none_name",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user_no_id",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_crud","","","","test_get_user_null_id",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","8","sampleService.tests.component.positive","test_api","","","","test_get_user[34d25b8c-5497-4b11-8134-84dc4ae1e9a2]",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","3","sampleService.tests.component.negative","test_api","","","","test_post_user_wrong_key_in_body",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user[xcGrzZAI]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_api","","","","test_post_user_null_username",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","1","sampleService.tests.component.negative","test_api","","","","test_post_user_invalid_json",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_crud","","","","test_create_user_invalid_username[]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_crud","","","","test_create_user_invalid_username[None]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","3","positive","test_api","","","","test_post_user_max_length_username",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","13","sampleService.tests.component.positive","test_api","","","","test_post_user_existed_name",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","18","negative","test_api","","","","test_get_not_existed_user",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_post_user_empty_body",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user[ ]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_api","","","","test_post_user_empty_username",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","4","negative","test_crud","","","","test_get_not_existed_user",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","5","sampleService.tests.component.positive","test_api","","","","test_post_user_max_length",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_get_user[None]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","3","positive","test_api","","","","test_post_user_short_username",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","0","negative","test_api","","","","test_post_user_too_long_username",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","7","sampleService.tests.component.negative","test_api","","","","test_post_user_empty_name",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","1","sampleService.tests.component.negative","test_api","","","","test_get_user[kpGaKT]",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","33","sampleService.tests.component.negative","test_api","","","","test_get_user_not_existed_id",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","1","negative","test_api","","","","test_get_user_null_id",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","4","positive","test_crud","","","","test_get_user",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","3","positive","test_crud","","","","test_create_user",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","6","sampleService.tests.component.positive","test_api","","","","test_post_user_one_symbol_name[6]",""
"passed","Tue Jul 02 17:26:52 GMT 2024","Tue Jul 02 17:26:52 GMT 2024","3","positive","test_api","","","","test_post_user",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","8","sampleService.tests.component.positive","test_api","","","","test_get_user[684]",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","6","sampleService.tests.component.positive","test_api","","","","test_post_user_one_symbol_name[P]",""
"passed","Tue Jul 02 17:26:51 GMT 2024","Tue Jul 02 17:26:51 GMT 2024","2","sampleService.tests.component.negative","test_api","","","","test_post_user_wrong_username_type",""
