"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","3","record_service.tests.unit.test_crud","test_crud_create_finished_task","","","","test_correct",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","1","record_service.tests.unit.test_api","test_post_new_task","","","","test_empty_description_field",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","4","record_service.tests.unit.test_api","test_post_new_task","","","","test_description_field[i-True]",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","0","record_service.tests.unit.test_api","test_post_finish_task","","","","test_wrong_type_id_field",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","2","record_service.tests.unit.test_api","test_post_new_task","","","","test_description_field[TIGiHVANSQzYILQIeopLmvJbcPHCoKWBAPIgAHIiijFkHGKYjQ-False]",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","3","record_service.tests.unit.test_api","test_post_new_task","","","","test_description_field[i-False]",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","3","record_service.tests.component","test_api","","","","test_new_task_missing_description_field[False]",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","3","record_service.tests.component","test_api","","","","test_new_task_empty_is_task_finished_field",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","2","record_service.tests.component","test_api","","","","test_new_task_empty_description_field[False]",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","9","record_service.tests.component","test_api","","","","test_new_task_description_repeated_value[True]",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","2","record_service.tests.component","test_api","","","","test_new_task_empty_timestamp_field[False]",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","0","record_service.tests.unit.test_api","test_post_new_task","","","","test_wrong_type_timestamp_filed[integer]",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","5","record_service.tests.unit.test_api","test_post_new_task","","","","test_description_repeated_value",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","3","record_service.tests.component","test_api","","","","test_new_task_more_than_max_symbols_in_description_field[True]",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","2","record_service.tests.component","test_api","","","","test_new_task_api_wrong_field_type_description_field[False]",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","0","record_service.tests.unit.test_crud","test_crud_create_task","","","","test_empty_description",""
"passed","Sun Jul 14 14:17:16 GMT 2024","Sun Jul 14 14:17:16 GMT 2024","6","record_service.tests.unit.test_crud","test_crud_create_task","","","","test_description_repeated_value",""
"passed","Sun Jul 14 14:17:14 GMT 2024","Sun Jul 14 14:17:14 GMT 2024","2","record_service.tests.component","test_api","","","","test_new_task_api_wrong_field_type_timestamp_filed[False-integer]",""
